Time,Interior Temp,Exterior Temp,Relative Humidity,Air Pressure,Acceleration (X),Acceleration (Z)
361,37.01,36.13,37.26,12.26,1.028,0.347
362,37.89,36.13,37.73,12.26,1.028,0.347
363,36.13,36.13,37.73,12.22,1.028,0.347
364,37.01,36.13,37.42,12.26,1.028,0.347
365,36.13,36.13,37.73,12.26,1.028,0.347
366,36.13,36.13,37.42,12.22,1.028,0.347
367,37.01,36.13,37.42,12.24,1.013,0.347
368,36.13,36.13,37.73,12.24,0.998,0.332
369,36.13,35.26,37.42,12.26,1.013,0.332
370,37.01,36.13,37.73,12.26,1.028,0.347
371,36.13,36.13,37.89,12.22,1.028,0.347
372,36.13,36.13,37.89,12.26,1.013,0.347
373,36.13,36.13,37.89,12.26,1.028,0.347
374,37.01,36.13,37.42,12.26,1.013,0.347
375,37.89,36.13,37.89,12.26,1.013,0.347
376,37.01,36.13,37.89,12.26,1.013,0.362
377,37.01,36.13,37.57,12.26,1.013,0.347
378,37.01,36.13,37.57,12.26,1.013,0.347
379,37.89,36.13,37.73,12.26,1.028,0.347
380,37.89,36.13,37.73,12.26,1.013,0.347
381,37.01,36.13,37.42,12.26,1.013,0.347
382,37.89,36.13,37.73,12.24,1.013,0.362
383,37.01,36.13,38.05,12.26,1.028,0.347
384,37.01,36.13,37.73,12.26,1.013,0.347
385,37.01,36.13,37.57,12.26,0.998,0.332
386,37.01,36.13,37.89,12.26,1.013,0.332
387,37.89,36.13,37.73,12.26,1.013,0.347
388,36.13,36.13,37.73,12.26,1.028,0.347
389,37.89,36.13,37.57,12.26,1.013,0.347
390,37.89,36.13,37.57,12.26,1.013,0.347
391,37.01,36.13,37.73,12.26,1.013,0.347
392,36.13,36.13,37.89,12.26,1.028,0.347
393,36.13,36.13,37.57,12.26,1.013,0.347
394,37.89,36.13,37.73,12.26,1.013,0.347
395,36.13,36.13,37.57,12.26,1.013,0.347
396,37.89,36.13,37.42,12.26,1.028,0.347
397,37.89,36.13,37.57,12.26,1.028,0.347
398,37.01,36.13,37.89,12.26,1.013,0.347
399,37.89,36.13,37.42,12.26,1.013,0.347
400,37.89,36.13,37.57,12.26,1.013,0.347
401,37.89,36.13,37.57,12.26,1.013,0.347
402,37.89,36.13,37.73,12.26,1.013,0.347
403,36.13,36.13,37.42,12.26,1.028,0.347
404,37.01,36.13,37.89,12.26,1.013,0.332
405,37.89,36.13,37.42,12.26,0.998,0.332
406,37.89,36.13,37.89,12.26,0.998,0.347
407,37.89,36.13,37.89,12.26,1.013,0.332
408,37.01,36.13,37.57,12.26,1.013,0.347
409,37.01,36.13,37.89,12.26,1.013,0.347
410,37.01,36.13,37.89,12.26,1.013,0.347
411,37.01,36.13,37.42,12.26,1.561,0.717
412,37.89,35.26,37.89,12.26,0.776,-0.038
413,37.89,36.13,37.57,12.26,0.924,0.302
414,37.89,36.13,37.42,12.26,0.835,-0.038
415,37.89,36.13,37.57,12.26,0.761,0.628
416,37.01,36.13,37.73,12.26,1.043,0.613
417,36.13,36.13,37.89,12.26,0.791,0.376
418,37.01,36.13,37.57,12.26,1.265,0.199
419,36.13,36.13,37.42,12.26,1.147,0.421
420,37.01,36.13,37.89,12.26,1.013,0.287
421,37.01,36.13,38.05,12.26,1.072,0.376
422,37.01,36.13,37.89,12.26,1.043,0.332
423,37.01,36.13,37.89,12.24,1.087,0.391
424,37.01,36.13,38.05,12.26,0.969,0.317
425,37.01,36.13,37.42,12.26,0.969,0.421
426,36.13,36.13,38.05,12.26,0.954,0.969
427,37.01,36.13,37.57,12.26,0.599,0.332
428,37.89,36.13,37.57,12.22,1.235,0.613
429,37.89,36.13,37.42,12.24,1.043,0.569
430,36.13,36.13,37.42,12.24,1.161,0.85
431,37.01,36.13,37.57,12.26,0.91,0.658
432,37.01,36.13,37.42,12.26,0.776,0.747
433,37.89,36.13,37.73,12.26,0.895,0.732
434,37.89,36.13,37.89,12.26,0.643,0.436
435,37.01,36.13,37.89,12.26,0.984,0.584
436,37.89,36.13,37.89,12.27,1.058,0.539
437,37.89,36.13,37.42,12.26,0.806,0.436
438,37.89,36.13,37.26,12.26,1.191,0.376
439,37.01,36.13,37.26,12.26,0.85,0.45
440,37.89,36.13,37.73,12.26,0.984,0.569
441,37.01,36.13,37.73,12.26,0.939,0.628
442,37.89,36.13,37.89,12.26,0.821,0.51
443,37.01,36.13,37.26,12.26,1.072,0.421
444,37.89,36.13,37.57,12.26,1.028,0.465
445,37.89,36.13,38.05,12.26,0.85,0.391
446,37.89,36.13,37.1,12.24,0.806,0.51
447,37.01,36.13,37.42,12.26,1.043,0.391
448,37.89,36.13,37.57,12.24,1.028,0.421
449,37.89,36.13,37.26,12.26,0.91,0.436
450,37.89,36.13,37.42,12.22,0.895,0.391
451,37.89,36.13,37.26,12.26,0.924,0.465
452,37.89,36.13,37.1,12.26,0.954,0.539
453,37.01,36.13,37.1,12.26,0.954,0.51
454,37.89,36.13,37.42,12.26,1.117,0.376
455,37.01,36.13,37.1,12.24,1.161,0.243
456,37.01,36.13,37.1,12.26,1.058,0.495
457,37.89,36.13,37.42,12.22,0.658,0.835
458,37.01,36.13,37.42,12.26,1.043,0.599
459,37.89,36.13,36.94,12.26,0.865,0.643
460,37.89,36.13,36.94,12.26,0.85,0.599
461,37.89,36.13,36.94,12.26,0.924,0.584
462,36.13,36.13,37.26,12.26,0.969,0.51
463,37.01,36.13,37.1,12.26,1.132,0.436
464,36.13,36.13,37.26,12.26,0.984,0.524
465,37.01,36.13,36.94,12.26,1.235,0.51
466,37.01,36.13,37.1,12.26,0.984,0.539
467,37.01,36.13,36.94,12.26,1.147,0.436
468,37.01,36.13,36.79,12.26,0.761,0.48
469,36.13,36.13,37.1,12.26,1.206,0.495
470,37.01,36.13,37.1,12.26,0.821,0.48
471,36.13,36.13,36.63,12.24,1.087,0.717
472,37.89,36.13,37.26,12.26,0.954,0.717
473,37.89,36.13,36.79,12.26,0.539,0.821
474,37.89,36.13,37.1,12.26,0.613,0.732
475,37.89,36.13,37.1,12.26,0.806,0.539
476,37.01,36.13,36.79,12.26,0.924,0.702
477,37.89,36.13,36.79,12.26,0.865,0.628
478,37.89,36.13,35.84,12.26,0.954,0.717
479,37.89,36.13,36.63,12.26,0.85,0.51
480,37.01,36.13,36.94,12.26,0.998,0.628
481,37.89,36.13,36.79,12.26,0.806,0.628
482,37.89,36.13,36.63,12.26,0.88,0.569
483,37.89,36.13,36.94,12.26,0.702,0.732
484,37.89,36.13,36.79,12.26,0.791,0.613
485,37.89,36.13,36.63,12.26,1.058,0.717
486,37.89,36.13,36.31,12.22,0.732,0.628
487,37.89,36.13,36.79,12.26,1.132,0.465
488,37.01,36.13,36.79,12.26,0.687,0.717
489,37.89,36.13,37.1,12.26,0.761,0.687
490,37.89,36.13,37.1,12.26,1.058,0.613
491,37.89,36.13,37.26,12.26,1.235,0.702
492,37.89,36.13,37.26,12.26,1.161,0.687
493,37.01,36.13,36.94,12.26,0.939,0.732
